adsl-70-19.38-151.net24.it - - [01/Oct/2006:07:17:45 -0700] "GET /ongoing/ongoing.atom HTTP/1.1" 304 - "-" "AppleSyndication/54"
207.188.28.33 - - [01/Oct/2006:07:17:48 -0700] "GET /ongoing/ongoing.rss HTTP/1.1" 301 327 "-" "Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.7.12) Gecko/20050920 Firefox/1.0.7"
d-65-175-190-194.metrocast.net - - [01/Oct/2006:07:17:49 -0700] "GET /ongoing/sans.css HTTP/1.1" 200 4838 "http://www.tbray.org/ongoing/When/200x/2004/08/07/Loosestrife" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.0.3705)"
d-65-175-190-194.metrocast.net - - [01/Oct/2006:07:17:49 -0700] "GET /ongoing/serif.css HTTP/1.1" 200 4824 "http://www.tbray.org/ongoing/When/200x/2004/08/07/Loosestrife" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.0.3705)"
207.188.28.33 - - [01/Oct/2006:07:17:49 -0700] "GET /ongoing/ongoing.atom HTTP/1.1" 200 44877 "-" "Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.7.12) Gecko/20050920 Firefox/1.0.7"
a80-126-219-193.adsl.xs4all.nl - - [01/Oct/2006:07:17:50 -0700] "GET /ongoing/ongoing.atom HTTP/1.1" 304 - "-" "NetNewsWire/2.1b33 (Mac OS X; Lite; http://ranchero.com/netnewswire/)"
cpe-72-179-5-17.austin.res.rr.com - - [01/Oct/2006:07:17:50 -0700] "GET /ongoing/ongoing.atom HTTP/1.1" 304 - "-" "NetNewsWire/2.1 (Mac OS X; http://ranchero.com/netnewswire/)"
c-67-171-146-85.hsd1.or.comcast.net - - [01/Oct/2006:07:17:50 -0700] "GET /ongoing/When/200x/2005/05/29/-tn/Search-Engine-Rankings.png HTTP/1.1" 304 - "http://www.stargeek.com/item/65163.html" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; FunWebProducts; bgft)"
88-111-108-237.dynamic.dsl.as9105.com - - [01/Oct/2006:07:17:51 -0700] "GET /ongoing/ongoing.atom HTTP/1.1" 304 - "-" "NetNewsWire/2.0.1 (Mac OS X; Lite; http://ranchero.com/netnewswire/)"
blk-224-172-213.eastlink.ca - - [01/Oct/2006:07:17:51 -0700] "GET /ongoing/ongoing.atom HTTP/1.1" 304 - "-" "Windows-RSS-Platform/1.0 (MSIE 7.0; Windows NT 5.1)"
85.113.189.137 - - [01/Oct/2006:07:17:51 -0700] "GET /ongoing/ongoing.atom HTTP/1.1" 304 - "-" "NetNewsWire/2.1b33 (Mac OS X; http://ranchero.com/netnewswire/)"
snorlax.ucdavis.edu - - [01/Oct/2006:07:17:51 -0700] "GET /ongoing/ongoing.atom HTTP/1.1" 304 - "-" "NetNewsWire/2.0.1 (Mac OS X; Lite; http://ranchero.com/netnewswire/)"
lj611039.inktomisearch.com - - [01/Oct/2006:07:17:52 -0700] "GET /ongoing/When/200x/2004/06/14/WSNokia HTTP/1.0" 304 - "-" "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)"
lj601601.inktomisearch.com - - [01/Oct/2006:07:17:52 -0700] "GET /ongoing/?lu=0205%3A42 HTTP/1.0" 200 20133 "-" "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)"
toroon63-1178067009.sdsl.bell.ca - - [01/Oct/2006:07:17:52 -0700] "GET /ongoing/ongoing.atom HTTP/1.1" 304 - "-" "GreatNews/1.0"
host86-132-30-187.range86-132.btcentralplus.com - - [01/Oct/2006:07:17:54 -0700] "GET /ongoing/ongoing.rss HTTP/1.0" 301 310 "-" "BitTorrent/4.0.0"
host86-132-30-187.range86-132.btcentralplus.com - - [01/Oct/2006:07:17:54 -0700] "GET /ongoing/ongoing.rss HTTP/1.0" 301 315 "-" "BitTorrent/4.0.0"
